Nombre de secondes;Coût;T°Moyenne;T°Extérieure
1;2916.0;10.9;0.0
2;5832.0;12.6;0.0
3;8748.0;13.6;0.0
4;11664.0;14.0;0.0
5;14580.0;14.5;1.0
6;17496.0;15.5;4.0
7;20412.0;15.9;4.0
8;23328.0;16.2;4.0
9;26244.0;16.7;6.0
10;29160.0;17.3;7.0
11;32076.0;18.0;9.0
12;34992.0;18.3;9.0
13;37908.0;19.0;11.0
14;40824.0;19.5;12.0
15;43740.0;20.0;13.0
16;46656.0;20.3;13.0
17;49572.0;19.9;11.0
18;52488.0;20.0;12.0
19;55404.0;19.4;9.0
20;58320.0;19.3;10.0
21;61236.0;19.0;9.0
22;64152.0;18.4;7.0
23;67068.0;18.1;7.0
24;69984.0;18.0;7.0
25;72900.0;17.9;7.0
26;75816.0;17.4;5.0
27;78732.0;16.9;4.0
28;81648.0;16.7;4.0
29;84564.0;16.6;4.0
30;87480.0;16.0;2.0
31;90396.0;16.5;5.0
32;93312.0;16.7;5.0
33;96228.0;16.8;5.0
34;99144.0;16.6;4.0
35;102060.0;16.5;4.0
36;104976.0;16.7;5.0
37;117892.0;26.2;6.0
38;130808.0;27.6;5.0
39;143724.0;28.2;5.0
40;156640.0;29.0;7.0
41;169556.0;28.9;5.0
42;182472.0;29.7;9.0
43;195388.0;30.0;9.0
44;208304.0;30.5;11.0
45;221220.0;31.0;12.0
46;234136.0;30.6;9.0
47;247052.0;30.3;8.0
48;259968.0;30.1;8.0
49;262113.3;20.9;8.0
50;262973.6;15.2;7.0
51;275889.6;27.8;8.0
52;277982.7;19.8;9.0
53;290898.7;29.8;12.0
54;293767.1;23.3;14.0
55;295544.7;20.0;15.0
56;297109.0;18.5;16.0
57;310025.0;29.8;15.0
58;312867.1;23.2;14.0
59;314750.1;20.5;16.0
60;316342.2;18.7;16.0
61;329258.2;30.4;18.0
62;332580.1;25.0;17.0
63;334719.2;21.8;17.0
64;336518.4;19.9;17.0
65;349434.4;30.4;16.0
66;352611.6;24.5;16.0
67;354594.1;21.2;16.0
68;356346.0;19.5;17.0
69;369262.0;30.9;19.0
70;373092.7;26.6;20.0
71;375916.9;24.5;21.0
72;378712.9;23.6;21.0
73;381860.2;24.5;25.0
74;385081.4;24.9;25.0
75;398222.6;33.7;25.0
76;403799.9;31.9;28.0
77;408256.5;30.3;28.0
78;412833.4;30.6;32.0
79;417533.3;30.8;32.0
80;432059.3;38.8;31.0
81;438444.0;35.2;30.0
82;443841.1;33.7;32.0
83;449028.3;33.1;34.0
84;454797.1;34.1;37.0
85;470725.5;42.8;37.0
86;479510.0;40.9;40.0
87;486624.1;39.0;38.0
88;493001.9;37.4;38.0
89;499008.4;35.8;36.0
90;514704.4;42.9;35.0
91;521849.0;38.0;32.0
92;527390.6;34.9;31.0
93;531751.1;31.4;28.0
94;536209.8;30.7;30.0
95;551258.5;40.1;34.0
96;558321.2;36.9;33.0
97;563905.0;34.6;32.0
98;568846.6;32.8;32.0
99;573737.8;32.0;32.0
100;588541.4;39.9;32.0
101;595390.0;36.5;32.0
102;600930.8;34.4;32.0
103;605857.0;32.7;32.0
104;610739.7;32.0;32.0
105;625538.2;39.9;32.0
106;632384.1;36.5;32.0
107;637922.8;34.4;32.0
108;642848.1;32.7;32.0
109;647730.2;32.0;32.0
110;662528.5;39.9;32.0
111;669374.2;36.4;32.0
112;674912.8;34.4;32.0
113;679838.1;32.7;32.0
114;684720.2;32.0;32.0
115;699518.5;39.9;32.0
116;706364.1;36.4;32.0
117;711902.8;34.4;32.0
118;716828.0;32.7;32.0
119;721710.1;32.0;32.0
120;736508.4;39.9;32.0
121;743354.1;36.4;32.0
122;748892.7;34.4;32.0
123;753817.9;32.7;32.0
124;758700.0;32.0;32.0
125;763574.2;31.6;32.0
126;768420.3;31.5;32.0
127;773247.5;31.4;32.0
128;777766.3;30.8;32.0
129;781935.9;30.2;32.0
130;785803.7;29.6;32.0
131;789660.8;29.4;32.0
132;793513.0;29.4;32.0
133;797362.8;29.3;32.0
134;801211.6;29.3;32.0
135;805059.8;29.3;32.0
136;808907.8;29.3;32.0
137;812755.6;29.3;32.0
138;816603.3;29.3;32.0
139;820451.1;29.3;32.0
140;824298.8;29.3;32.0
141;828146.4;29.3;32.0
142;841062.4;36.5;32.0
143;853978.4;37.7;32.0
144;866894.4;38.2;32.0
145;879810.4;38.5;32.0
146;892726.4;38.6;32.0
147;905642.4;38.6;32.0
148;918558.4;38.7;32.0
149;931474.4;38.7;32.0
150;944390.4;38.7;32.0
151;957306.4;38.7;32.0
152;970222.4;38.7;32.0
153;983138.4;38.7;32.0
