Nombre de secondes;Coût;T°Moyenne;T°Extérieure
1;2916.0;10.3;0.0
2;5832.0;12.0;0.0
3;8748.0;12.9;0.0
4;11664.0;13.4;0.0
5;14580.0;13.9;1.0
6;17496.0;14.9;4.0
7;18447.0;10.7;4.0
8;19320.6;10.0;4.0
9;20239.8;10.2;6.0
10;21206.9;10.7;7.0
11;22240.5;11.2;9.0
12;23229.7;11.2;9.0
13;24287.6;12.2;11.0
14;26010.5;14.6;12.0
15;28349.6;17.1;13.0
16;31265.6;19.2;13.0
17;34181.6;19.2;11.0
18;37097.6;19.5;12.0
19;40013.6;18.9;9.0
20;42929.6;18.9;10.0
21;45845.6;18.6;9.0
22;48761.6;18.0;7.0
23;51677.6;17.7;7.0
24;54593.6;17.5;7.0
25;57509.6;17.4;7.0
26;60425.6;16.9;5.0
27;63341.6;16.4;4.0
28;66257.6;16.2;4.0
