Nombre de secondes;Coût;T°Moyenne;T°Extérieure
1;2916.0;10.3;0.0
2;5832.0;12.1;0.0
3;8019.0;11.2;0.0
4;10935.0;13.6;0.0
5;16351.0;18.6;1.0
6;21767.0;20.2;4.0
7;27183.0;20.9;4.0
8;32599.0;21.4;4.0
9;38015.0;21.9;6.0
10;43431.0;22.4;7.0
11;48847.0;23.0;9.0
12;54263.0;23.3;9.0
13;59679.0;23.8;11.0
14;65095.0;24.2;12.0
15;70511.0;24.6;13.0
16;75927.0;24.8;13.0
17;80614.0;23.7;11.0
18;86030.0;24.6;12.0
19;91446.0;24.2;9.0
20;96862.0;24.1;10.0
21;102278.0;23.9;9.0
22;107694.0;23.5;7.0
23;113110.0;23.2;7.0
24;118526.0;23.1;7.0
25;121442.0;20.0;7.0
26;124358.0;18.6;5.0
27;127274.0;17.7;4.0
28;130190.0;17.2;4.0
29;133106.0;16.9;4.0
30;136022.0;16.3;2.0
31;138938.0;16.7;5.0
32;141854.0;16.8;5.0
33;147270.0;20.8;5.0
34;152686.0;21.3;4.0
35;158102.0;21.6;4.0
36;163518.0;21.9;5.0
37;168934.0;22.2;6.0
38;174350.0;22.2;5.0
39;179766.0;22.2;5.0
40;185182.0;22.5;7.0
41;190598.0;22.4;5.0
42;196014.0;23.0;9.0
43;201430.0;23.3;9.0
44;206846.0;23.8;11.0
45;212262.0;24.2;12.0
46;217678.0;23.9;9.0
47;219533.8;17.7;8.0
48;220901.2;15.4;8.0
49;222160.3;14.1;8.0
50;225173.3;15.8;7.0
51;226561.7;13.4;8.0
52;230003.8;16.9;9.0
53;232211.6;17.2;12.0
54;234281.6;17.1;14.0
55;236361.2;17.4;15.0
56;240609.4;20.7;16.0
57;243033.2;18.5;15.0
58;250949.2;27.4;14.0
59;254255.6;22.8;16.0
60;257254.0;21.6;16.0
61;260024.0;20.4;18.0
62;262494.4;19.2;17.0
63;272910.4;31.4;17.0
64;277400.8;26.1;17.0
65;280593.1;22.4;16.0
66;283233.2;20.1;16.0
67;285556.3;18.7;16.0
68;295972.3;31.2;17.0
69;300798.2;26.8;19.0
70;304719.9;24.4;20.0
71;308376.0;23.3;21.0
72;311829.9;22.5;21.0
73;315802.4;23.6;25.0
74;319930.2;24.1;25.0
75;324137.3;24.4;25.0
76;328949.1;25.8;28.0
77;334008.6;26.6;28.0
78;340029.9;28.7;32.0
79;346465.4;29.9;32.0
80;352928.3;30.2;31.0
81;359258.5;30.1;30.0
82;366013.5;30.9;32.0
83;373388.2;32.1;34.0
84;381754.5;34.0;37.0
85;390556.4;35.1;37.0
86;400417.9;37.0;40.0
87;410215.5;37.2;38.0
