Nombre de secondes;Coût;T°Moyenne;T°Extérieure
1;2916.0;9.8;0.0
2;5832.0;11.6;0.0
3;8748.0;12.7;0.0
4;11664.0;13.3;0.0
5;14580.0;13.9;1.0
6;17496.0;14.8;4.0
7;20412.0;15.3;4.0
8;33328.0;24.0;4.0
9;37060.7;21.8;6.0
10;38032.3;16.1;7.0
11;50948.3;27.2;9.0
12;52850.0;20.7;9.0
13;54020.8;17.8;11.0
14;66936.8;28.4;12.0
15;69362.1;23.0;13.0
16;70887.8;19.9;13.0
17;83803.8;29.0;11.0
18;86150.7;23.0;12.0
19;87299.6;18.4;9.0
20;100215.6;28.4;10.0
21;102189.2;21.4;9.0
22;103077.0;16.7;7.0
23;115993.0;27.3;7.0
24;117696.1;19.9;7.0
25;130612.1;28.5;7.0
26;131513.5;16.7;5.0
27;135105.5;19.8;4.0
28;138697.5;19.1;4.0
29;142289.5;18.7;4.0
30;145881.5;18.0;2.0
31;149473.5;18.3;5.0
32;153065.5;18.4;5.0
33;156657.5;18.4;5.0
34;160249.5;18.3;4.0
35;163841.5;18.2;4.0
36;167433.5;18.4;5.0
37;171025.5;18.6;6.0
38;174617.5;18.5;5.0
39;178209.5;18.5;5.0
40;181801.5;18.9;7.0
41;185393.5;18.7;5.0
42;188985.5;19.4;9.0
43;192577.5;19.7;9.0
44;196169.5;20.2;11.0
45;199423.5;20.2;12.0
46;202051.9;18.6;9.0
47;205643.9;19.8;8.0
48;209235.9;19.7;8.0
49;212827.9;19.7;8.0
50;216419.9;19.5;7.0
51;220011.9;19.6;8.0
52;223603.9;19.8;9.0
53;227195.9;20.5;12.0
54;230056.5;20.1;14.0
55;232387.2;19.4;15.0
56;235979.2;21.8;16.0
57;237649.3;18.8;15.0
58;241241.3;21.7;14.0
59;243008.7;19.1;16.0
60;246600.7;22.1;16.0
61;248623.3;20.2;18.0
62;250308.4;19.0;17.0
63;253900.4;22.3;17.0
64;255819.3;19.9;17.0
65;259411.3;22.4;16.0
66;261225.9;19.6;16.0
67;264817.9;22.3;16.0
68;266740.1;20.0;17.0
69;270332.1;23.0;19.0
70;272656.1;21.6;20.0
71;274912.9;21.4;21.0
72;277155.7;21.3;21.0
73;279902.9;22.8;25.0
74;282816.9;23.6;25.0
75;285808.4;24.1;25.0
76;289290.6;25.6;28.0
77;292955.0;26.5;28.0
78;297374.2;28.6;32.0
